id,name,price
1125,"iPhone 6s 32GB - Silver","89,990.0"
1126,"iPhone 6s 32GB - Rose Gold","89,990.0"
1127,"HUAWEI P9 LITE DS Black","29,990.0"
1128,"HUAWEI P9 LITE DS Gold","29,990.0"
1129,"SAMSUNG GALAXY S7 EDGE Pink","76,990.0"
1130,"SAMSUNG GALAXY S7 EDGE Silver","76,990.0"
1131,"HUAWEI Y6 II COMPACT White","18,990.0"
1132,"SAMSUNG GALAXY S8+ Black","114,990.0"
1133,"CANTE TABLET PLATINET 7""-7 85""","1,790.0"
1134,"SAMSUNG GALAXY S8 Black","99,990.0"
1135,"HUB S-LINK 4PORT USB 2.0",750.0
1136,"LP HP 250 G5 W4M66EA","35,990.0"
1137,"SAMSUNG GALAXY J5 (2017) Blue","34,990.0"
1138,"SAMSUNG GALAXY A5 (2017) Black","54,990.0"
1139,"PLAYSTATION 3 BLACK 12 GB","29,990.0"
1140,"HUAWEI P10 Black","72,990.0"
